vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-01-01T00:03:32.000,2021-01-01T00:20:17.000,1,0.00,1,N,173,159,1,26.2,0,0.5,0,6.12,0.3,33.12,0
2,2021-01-01T00:03:35.000,2021-01-01T00:20:35.000,1,7.24,1,N,137,49,2,22.5,0.5,0.5,0,0,0.3,26.3,2.5
1,2021-01-01T00:03:37.000,2021-01-01T00:38:32.000,1,0.00,1,N,74,61,1,45.08,0,0.5,0,6.12,0.3,52,0
2,2021-01-01T00:03:40.000,2021-01-01T00:22:09.000,1,4.82,1,N,43,68,2,17,0.5,0.5,0,0,0.3,20.8,2.5
2,2021-01-01T00:03:47.000,2021-01-01T00:13:05.000,1,2.72,1,N,100,144,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,2021-01-01T00:03:48.000,2021-01-01T00:14:29.000,1,1.98,1,N,100,229,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
1,2021-01-01T00:03:48.000,2021-01-01T00:17:16.000,1,0.00,1,Y,72,61,1,14.2,0,0.5,0,0,0.3,15,0
2,2021-01-01T00:03:59.000,2021-01-01T00:11:50.000,1,1.44,1,N,43,262,1,7.5,0.5,0.5,4,0,0.3,15.3,2.5
,2021-01-01T00:04:01.000,2021-01-01T00:32:22.000,,9.34,,,61,137,,29.98,0,0.5,0,0,0.3,33.28,2.5
2,2021-01-01T00:04:10.000,2021-01-01T00:25:23.000,2,3.17,1,N,230,151,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2021-01-01T00:04:11.000,2021-01-01T00:10:03.000,2,1.51,1,N,236,75,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2021-01-01T00:04:15.000,2021-01-01T00:17:45.000,2,4.36,1,N,68,151,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5
2,2021-01-01T00:04:21.000,2021-01-01T00:07:58.000,1,0.78,1,N,239,238,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
1,2021-01-01T00:04:21.000,2021-01-01T00:11:49.000,1,5.20,1,N,162,88,1,15.5,3,0.5,3.85,0,0.3,23.15,2.5
,2021-01-01T00:04:34.000,2021-01-01T00:11:49.000,,1.01,,,41,75,,22.86,0,0.5,2.75,0,0.3,26.41,0
1,2021-01-01T00:04:41.000,2021-01-01T00:14:01.000,0,3.60,1,N,141,226,1,12,3,0.5,3,0,0.3,18.8,2.5
2,2021-01-01T00:04:44.000,2021-01-01T00:15:06.000,1,2.19,1,N,113,87,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2021-01-01T00:04:53.000,2021-01-01T00:21:50.000,1,3.67,1,N,113,255,1,15.5,0.5,0.5,4.83,0,0.3,24.13,2.5
2,2021-01-01T00:04:58.000,2021-01-01T00:15:54.000,1,1.73,1,N,48,164,1,8.5,0.5,0.5,3.69,0,0.3,15.99,2.5
2,2021-01-01T00:04:59.000,2021-01-01T00:28:32.000,2,5.71,1,N,48,87,2,21,0.5,0.5,0,0,0.3,24.8,2.5
1,2021-01-01T00:05:05.000,2021-01-01T00:16:43.000,1,2.00,1,N,234,4,2,10,3,0.5,0,0,0.3,13.8,2.5
2,2021-01-01T00:05:10.000,2021-01-01T00:17:02.000,1,3.06,1,N,163,236,1,11.5,0.5,0.5,1,0,0.3,16.3,2.5
2,2021-01-01T00:05:13.000,2021-01-01T00:10:46.000,1,1.83,1,N,90,48,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
1,2021-01-01T00:05:22.000,2021-01-01T00:27:34.000,1,0.00,1,N,191,80,1,34.2,0,0.5,0,0,0.3,35,0
2,2021-01-01T00:05:27.000,2021-01-01T00:11:39.000,1,1.68,1,N,161,229,1,7,0.5,0.5,1.62,0,0.3,12.42,2.5
,2021-01-01T00:05:29.000,2021-01-01T00:28:18.000,,0.00,,,114,102,,24.2,0.5,0.5,0,0,0.3,30,2.5
2,2021-01-01T00:05:35.000,2021-01-01T00:23:34.000,1,5.10,1,N,113,236,1,17.5,0.5,0.5,6.39,0,0.3,27.69,2.5
