vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01T00:07:14.000,2021-03-01T00:13:02.000,1,0.94,1,N,249,158,1,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-03-01T00:07:24.000,2021-03-01T00:32:47.000,1,19.14,2,N,132,263,1,52,0,0.5,9.21,6.12,0.3,70.63,2.5
2,2021-03-01T00:07:32.000,2021-03-01T00:34:42.000,2,20.97,1,N,132,25,2,55.5,0.5,0.5,0,0,0.3,56.8,0
,2021-03-01T00:07:32.000,2021-03-01T00:26:03.000,,7.92,,,137,69,,32.04,2.75,0.5,0,0,0.3,35.59,0
2,2021-03-01T00:07:33.000,2021-03-01T00:12:12.000,1,1.00,1,N,90,113,1,5.5,0.5,0.5,0.7,0,0.3,10,2.5
2,2021-03-01T00:07:34.000,2021-03-01T00:18:17.000,1,7.53,1,N,138,256,1,21.5,0.5,0.5,3,0,0.3,25.8,0
2,2021-03-01T00:07:35.000,2021-03-01T00:37:53.000,1,15.88,1,N,70,145,1,44,0.5,0.5,8.15,0,0.3,53.45,0
2,2021-03-01T00:07:37.000,2021-03-01T00:10:32.000,1,0.40,1,N,74,41,2,4,0.5,0.5,0,0,0.3,5.3,0
1,2021-03-01T00:07:40.000,2021-03-01T00:31:23.000,0,16.50,4,N,138,265,1,51,0.5,0.5,11.65,6.12,0.3,70.07,0
1,2021-03-01T00:07:42.000,2021-03-01T00:21:18.000,1,9.60,1,N,138,79,1,26.5,3,0.5,6.05,0,0.3,36.35,2.5
2,2021-03-01T00:07:51.000,2021-03-01T00:50:56.000,1,26.32,5,N,132,265,1,125,0,0.5,0,17.87,0.3,143.67,0
,2021-03-01T00:08:00.000,2021-03-01T00:27:00.000,,4.04,,,188,35,,25.45,2.75,0.5,0,0,0.3,29,0
,2021-03-01T00:08:00.000,2021-03-01T00:17:00.000,,1.43,,,246,170,,8.25,0,0.5,1.78,0,0.3,13.33,2.5
,2021-03-01T00:08:15.000,2021-03-01T00:14:35.000,,1.33,,,264,107,,7,0,0.5,1.83,0,0.3,12.13,2.5
2,2021-03-01T00:08:18.000,2021-03-01T00:13:17.000,1,1.09,1,N,41,151,1,6,0.5,0.5,2.7,0,0.3,10,0
2,2021-03-01T00:08:20.000,2021-03-01T00:26:38.000,1,12.06,1,N,138,132,2,32.5,0.5,0.5,0,0,0.3,33.8,0
2,2021-03-01T00:08:47.000,2021-03-01T00:26:04.000,2,4.74,1,N,90,263,1,17,0.5,0.5,5.2,0,0.3,26,2.5
2,2021-03-01T00:09:00.000,2021-03-01T00:27:19.000,1,8.62,1,N,162,244,1,25.5,0.5,0.5,2.9,0,0.3,32.2,2.5
2,2021-03-01T00:09:02.000,2021-03-01T00:19:56.000,1,3.60,1,N,141,260,2,12,0.5,0.5,0,0,0.3,15.8,2.5
