vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2021-02-01T00:00:15.000,2021-02-01T00:31:30.000,0,10.20,1,N,138,17,1,31,0.5,0.5,4,0,0.3,36.3,0
2,2021-02-01T00:01:00.000,2021-02-01T00:13:00.000,1,1.13,1,N,249,144,1,8.5,0.5,0.5,5,0,0.3,17.3,2.5
2,2021-02-01T00:01:15.000,2021-02-01T00:30:02.000,1,8.94,1,N,138,151,1,28.5,0.5,0.5,10.78,6.12,0.3,46.7,0
,2021-02-01T00:02:00.000,2021-02-01T00:07:00.000,,1.22,,,151,166,,7,0,0.5,5,0,0.3,12.8,0
,2021-02-01T00:02:14.000,2021-02-01T01:02:03.000,,23.79,,,265,86,,60.69,0,0.5,0,0,0.3,61.49,0
,2021-02-01T00:02:17.000,2021-02-01T00:51:23.000,,9.28,,,107,77,,46.58,0,0.5,9.51,0,0.3,59.39,2.5
,2021-02-01T00:02:27.000,2021-02-01T01:02:05.000,,12.71,,,265,171,,35.35,0,0.5,0,0,0.3,36.15,0
2,2021-02-01T00:02:41.000,2021-02-01T00:17:50.000,1,2.83,1,N,186,144,1,11.5,0.5,0.5,2,0,0.3,17.3,2.5
1,2021-02-01T00:02:44.000,2021-02-01T00:08:20.000,2,1.00,1,N,186,230,2,5.5,3,0.5,0,0,0.3,9.3,2.5
,2021-02-01T00:02:48.000,2021-02-01T00:02:16.000,,9.68,,,265,246,,38.11,0,0.5,0,0,0.3,38.91,0
,2021-02-01T00:02:50.000,2021-02-01T01:02:03.000,,6.88,,,265,173,,31.2,0,0.5,0,0,0.3,32,0
2,2021-02-01T00:03:11.000,2021-02-01T00:09:27.000,1,0.94,1,N,186,230,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-02-01T00:03:17.000,2021-02-01T00:38:32.000,1,20.82,1,N,132,174,1,55,0.5,0.5,2,6.12,0.3,64.42,0
2,2021-02-01T00:03:17.000,2021-02-01T00:10:19.000,1,0.79,1,N,236,262,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2021-02-01T00:03:26.000,2021-02-01T00:16:32.000,1,2.79,1,N,236,229,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
,2021-02-01T00:03:26.000,2021-02-01T00:34:58.000,,8.47,,,148,7,,25.89,0,0.5,6.62,0,0.3,35.81,2.5
2,2021-02-01T00:03:31.000,2021-02-01T00:08:09.000,2,1.09,1,N,236,75,1,5.5,0.5,0.5,2,0,0.3,11.3,2.5
2,2021-02-01T00:03:32.000,2021-02-01T00:19:17.000,1,4.00,1,N,186,151,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
1,2021-02-01T00:03:34.000,2021-02-01T00:19:28.000,1,3.40,1,Y,186,236,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
1,2021-02-01T00:03:36.000,2021-02-01T00:06:51.000,1,0.50,1,N,186,90,1,4.5,3,0.5,2.49,0,0.3,10.79,2.5
1,2021-02-01T00:03:54.000,2021-02-01T00:10:49.000,1,1.40,1,N,186,107,1,7,3,0.5,3.2,0,0.3,14,2.5
,2021-02-01T00:04:00.000,2021-02-01T00:15:00.000,,2.62,,,144,170,,13.65,0,0.5,0,0,0.3,16.95,2.5
,2021-02-01T00:04:00.000,2021-02-01T00:32:00.000,,11.50,,,47,70,,36.08,0,0.5,0,6.12,0.3,43,0
,2021-02-01T00:04:14.000,2021-02-01T00:23:44.000,,5.33,,,137,80,,16.74,0,0.5,2,0,0.3,22.04,2.5
2,2021-02-01T00:04:16.000,2021-02-01T00:14:23.000,1,1.23,1,N,186,164,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,2021-02-01T00:05:08.000,2021-02-01T00:12:18.000,1,2.80,1,N,88,232,2,9.5,3,0.5,0,0,0.3,13.3,2.5
2,2021-02-01T00:05:20.000,2021-02-01T00:11:26.000,1,2.05,1,N,163,236,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,2021-02-01T00:05:54.000,2021-02-01T00:24:21.000,1,3.60,1,N,140,151,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
1,2021-02-01T00:05:56.000,2021-02-01T00:34:01.000,1,15.30,1,N,132,29,1,41.5,0.5,0.5,0,0,0.3,42.8,0
,2021-02-01T00:06:00.000,2021-02-01T00:11:00.000,,1.05,,,141,229,,7,0,0.5,3,0,0.3,13.3,2.5
2,2021-02-01T00:06:19.000,2021-02-01T00:12:48.000,1,1.17,1,N,233,164,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
,2021-02-01T00:06:20.000,2021-02-01T00:27:49.000,,5.50,,,79,75,,18.72,0,0.5,1,0,0.3,23.02,2.5
2,2021-02-01T00:06:26.000,2021-02-01T00:14:55.000,1,1.88,1,N,190,181,1,8,0.5,0.5,10,0,0.3,19.3,0
2,2021-02-01T00:06:33.000,2021-02-01T00:13:56.000,1,2.42,1,N,79,256,4,-9,-0.5,-0.5,0,0,-0.3,-12.8,-2.5
2,2021-02-01T00:06:33.000,2021-02-01T00:13:56.000,1,2.42,1,N,79,256,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2021-02-01T00:06:36.000,2021-02-01T00:26:17.000,2,5.02,1,N,48,74,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
2,2021-02-01T00:07:25.000,2021-02-01T00:20:25.000,1,3.12,1,N,107,141,1,11.5,0.5,0.5,3.82,0,0.3,19.12,2.5
2,2021-02-01T00:07:25.000,2021-02-01T00:13:54.000,1,2.48,1,N,107,232,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2021-02-01T00:07:33.000,2021-02-01T00:27:13.000,1,5.96,1,N,132,216,2,19.5,0.5,0.5,0,0,0.3,20.8,0
1,2021-02-01T00:07:44.000,2021-02-01T00:20:31.000,1,1.60,1,N,43,263,2,9.5,3,0.5,0,0,0.3,13.3,0
,2021-02-01T00:07:59.000,2021-02-01T00:29:54.000,,7.73,,,75,250,,38.7,0,0.5,0,0,0.3,39.5,0
2,2021-02-01T00:08:07.000,2021-02-01T00:15:58.000,1,1.45,1,N,166,74,1,7,0.5,0.5,2,0,0.3,10.3,0
2,2021-02-01T00:08:09.000,2021-02-01T00:13:25.000,1,0.76,1,N,142,143,2,5,0.5,0.5,0,0,0.3,8.8,2.5
1,2021-02-01T00:08:21.000,2021-02-01T00:13:56.000,1,1.00,1,N,163,142,1,6,3,0.5,2.9,0,0.3,12.7,2.5
1,2021-02-01T00:08:25.000,2021-02-01T00:13:32.000,2,1.00,1,N,137,164,1,5.5,3,0.5,0,0,0.3,9.3,2.5
1,2021-02-01T00:08:29.000,2021-02-01T00:21:22.000,1,2.00,1,N,79,246,1,9,3,0.5,3.2,0,0.3,16,2.5
1,2021-02-01T00:08:57.000,2021-02-01T00:58:55.000,0,17.80,2,N,132,140,1,52,2.5,0.5,13.8,0,0.3,69.1,2.5
1,2021-02-01T00:09:22.000,2021-02-01T00:53:48.000,1,26.60,1,N,132,200,1,69,0.5,0.5,0,6.12,0.3,76.42,0
2,2021-02-01T00:09:27.000,2021-02-01T00:48:37.000,1,18.76,1,N,132,66,1,50,0.5,0.5,25,0,0.3,76.3,0
2,2021-02-01T00:09:38.000,2021-02-01T00:12:28.000,1,0.80,1,N,90,68,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-02-01T00:09:51.000,2021-02-01T00:29:01.000,1,5.61,1,N,137,80,1,18.5,0.5,0.5,4.01,0,0.3,26.31,2.5
2,2021-02-01T00:09:57.000,2021-02-01T00:50:58.000,6,15.92,1,N,186,81,2,45.5,0.5,0.5,0,0,0.3,49.3,2.5
,2021-02-01T00:10:00.000,2021-02-01T00:22:00.000,,1.76,,,249,4,,9.74,0,0.5,2.84,0,0.3,15.88,2.5
2,2021-02-01T00:10:27.000,2021-02-01T00:20:58.000,1,2.93,1,N,141,74,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,2021-02-01T00:11:18.000,2021-02-01T00:25:26.000,1,2.75,1,N,68,79,1,11,0.5,0.5,3.7,0,0.3,18.5,2.5
,2021-02-01T00:11:52.000,2021-02-01T00:32:36.000,,3.03,,,151,142,,12.41,0,0.5,3.29,0,0.3,19,2.5
,2021-02-01T00:12:00.000,2021-02-01T00:22:00.000,,3.31,,,137,263,,13.17,0,0.5,4,0,0.3,20.47,2.5
2,2021-02-01T00:12:35.000,2021-02-01T00:18:43.000,1,1.90,1,N,90,50,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2021-02-01T00:12:51.000,2021-02-01T00:25:05.000,2,4.07,1,N,236,113,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
,2021-02-01T00:13:00.000,2021-02-01T00:21:00.000,,1.83,,,95,135,,7.18,0,0.5,0,0,0.3,7.98,0
