vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2021-02-01T00:13:00.000,2021-02-01T00:50:00.000,,12.96,,,21,137,,42.7,0,0.5,0,6.12,0.3,52.12,2.5
2,2021-02-01T00:13:16.000,2021-02-01T00:49:46.000,1,14.76,1,N,74,205,2,42,0.5,0.5,0,6.12,0.3,49.42,0
,2021-02-01T00:13:16.000,2021-02-01T00:41:00.000,,8.25,,,151,129,,26.98,0,0.5,0.38,6.12,0.3,34.28,0
1,2021-02-01T00:13:22.000,2021-02-01T00:31:38.000,1,3.60,1,N,148,48,2,14.5,3,0.5,0,0,0.3,18.3,2.5
2,2021-02-01T00:13:43.000,2021-02-01T00:29:35.000,1,2.37,1,N,236,170,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
1,2021-02-01T00:13:47.000,2021-02-01T00:43:12.000,1,7.70,1,N,186,42,1,26,3,0.5,5,0,0.3,34.8,2.5
,2021-02-01T00:14:00.000,2021-02-01T00:26:00.000,,1.93,,,151,75,,9.68,0,0.5,1.1,0,0.3,11.58,0
1,2021-02-01T00:14:16.000,2021-02-01T00:18:41.000,1,0.70,1,N,68,50,2,5,3,0.5,0,0,0.3,8.8,2.5
2,2021-02-01T00:14:33.000,2021-02-01T01:04:32.000,3,11.09,1,N,263,61,1,40.5,0.5,0.5,8.86,0,0.3,53.16,2.5
2,2021-02-01T00:14:53.000,2021-02-01T00:43:40.000,1,15.15,1,N,132,223,1,41.5,0.5,0.5,8.56,0,0.3,51.36,0
2,2021-02-01T00:14:55.000,2021-02-01T00:26:56.000,2,4.31,1,N,137,74,1,13.5,0.5,0.5,3.46,0,0.3,20.76,2.5
2,2021-02-01T00:15:27.000,2021-02-01T00:19:19.000,1,1.18,1,N,141,75,1,5.5,0.5,0.5,4,0,0.3,13.3,2.5
1,2021-02-01T00:15:27.000,2021-02-01T00:38:16.000,1,9.90,1,Y,256,28,2,27.5,0.5,0.5,0,0,0.3,28.8,0
2,2021-02-01T00:15:28.000,2021-02-01T00:27:23.000,3,2.73,1,N,186,237,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
2,2021-02-01T00:15:53.000,2021-02-01T00:50:17.000,1,17.70,2,N,132,186,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
,2021-02-01T00:16:24.000,2021-02-01T00:23:42.000,,1.42,,,239,151,,7,0,0.5,1,0,0.3,11.3,2.5
1,2021-02-01T00:16:35.000,2021-02-01T00:29:56.000,1,2.20,1,N,186,142,1,10.5,3,0.5,3.55,0,0.3,17.85,2.5
2,2021-02-01T00:16:47.000,2021-02-01T00:57:55.000,3,7.66,1,N,186,37,2,29.5,0.5,0.5,0,0,0.3,33.3,2.5
2,2021-02-01T00:16:49.000,2021-02-01T00:53:59.000,1,19.11,2,N,132,90,1,52,0,0.5,10,6.12,0.3,71.42,2.5
2,2021-02-01T00:16:54.000,2021-02-01T00:46:28.000,5,4.42,1,N,112,80,2,16.5,0.5,0.5,0,0,0.3,17.8,0
1,2021-02-01T00:17:17.000,2021-02-01T00:26:12.000,1,1.40,1,N,211,79,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2021-02-01T00:17:42.000,2021-02-01T00:28:23.000,1,2.10,1,N,74,24,2,9,0.5,0.5,0,0,0.3,10.3,0
1,2021-02-01T00:17:44.000,2021-02-01T00:23:50.000,1,0.60,1,N,230,48,1,5.5,3,0.5,2.3,0,0.3,11.6,2.5
2,2021-02-01T00:17:53.000,2021-02-01T00:30:23.000,1,2.72,1,N,142,90,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
2,2021-02-01T00:17:59.000,2021-02-01T00:25:27.000,1,1.37,1,N,186,137,2,7,0.5,0.5,0,0,0.3,10.8,2.5
,2021-02-01T00:18:00.000,2021-02-01T00:33:00.000,,7.16,,,137,168,,32.04,2.75,0.5,0,0,0.3,35.59,0
2,2021-02-01T00:18:28.000,2021-02-01T01:09:26.000,1,23.05,1,N,132,241,1,61.5,0.5,0.5,13.78,6.12,0.3,82.7,0
2,2021-02-01T00:18:31.000,2021-02-01T00:46:45.000,1,8.08,1,N,75,88,1,26.5,0.5,0.5,6.06,0,0.3,36.36,2.5
2,2021-02-01T00:18:41.000,2021-02-01T00:41:35.000,1,12.22,1,N,132,138,1,33.5,0.5,0.5,15,0,0.3,49.8,0
,2021-02-01T00:19:00.000,2021-02-01T00:33:00.000,,2.62,,,140,239,,12.51,0,0.5,2.48,0,0.3,18.29,2.5
1,2021-02-01T00:19:01.000,2021-02-01T00:29:46.000,1,2.50,1,N,90,229,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
2,2021-02-01T00:19:09.000,2021-02-01T00:33:02.000,1,3.54,1,N,263,107,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5
2,2021-02-01T00:19:17.000,2021-02-01T00:57:11.000,1,6.62,1,N,186,37,2,26.5,0.5,0.5,0,0,0.3,30.3,2.5
2,2021-02-01T00:19:21.000,2021-02-01T00:25:33.000,5,0.90,1,N,164,234,1,5,0.5,0.5,0,0,0.3,8.8,2.5
1,2021-02-01T00:19:24.000,2021-02-01T00:27:49.000,1,1.60,1,N,244,116,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2021-02-01T00:19:54.000,2021-02-01T00:34:12.000,1,2.09,1,N,239,50,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2021-02-01T00:20:09.000,2021-02-01T01:42:57.000,1,29.59,1,N,55,264,1,85,0.5,0.5,0,6.12,0.3,92.42,0
2,2021-02-01T00:20:20.000,2021-02-01T00:24:03.000,2,0.64,1,N,229,140,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,2021-02-01T00:20:25.000,2021-02-01T01:02:15.000,1,19.46,2,N,132,238,1,52,0,0.5,13.82,0,0.3,69.12,2.5
2,2021-02-01T00:20:38.000,2021-02-01T00:57:11.000,1,4.53,1,N,88,189,1,24.5,0.5,0.5,7.08,0,0.3,35.38,2.5
